date,open,high,low,close,volume
2020-01-16,50.58,50.96,50.3,50.7,44913.5
2020-01-15,50.11,50.69,49.99,50.5,42965.15
2020-01-14,51.02,51.02,50.1,50.36,79956.6
2020-01-13,51.62,51.62,50.7,50.95,68516.88
2020-01-10,50.94,51.61,50.33,51.32,64473.69
2020-01-09,50.27,51.02,50.1,50.85,57661.15
2020-01-08,50.04,50.32,49.79,50.02,29076.07
2020-01-07,50.2,50.4,49.5,50.3,40810.7
2020-01-06,50.83,50.85,49.83,50.01,59693.99
2020-01-03,51.32,51.39,51.03,51.25,41112.22
2020-01-02,51.5,51.55,50.83,51.11,51941.19
2019-12-31,51.09,51.4,50.77,51.0,37561.77
2019-12-30,50.52,51.17,50.11,51.09,49767.22
2019-12-27,50.26,51.19,50.26,50.45,46257.46
2019-12-26,49.98,50.45,49.68,50.37,25725.23
2019-12-25,50.18,50.23,49.6,49.84,27753.52
2019-12-24,50.29,50.46,49.3,50.3,46832.54
2019-12-23,50.9,50.94,50.04,50.17,39277.13
2019-12-20,50.85,51.38,50.6,50.94,37505.13
2019-12-19,51.22,51.31,50.6,50.9,39102.77
2019-12-18,51.52,51.65,51.1,51.22,39994.64
2019-12-17,52.0,52.0,50.88,51.68,83607.36
2019-12-16,53.15,53.54,51.35,52.0,86058.61
2019-12-13,52.4,53.39,51.65,53.12,66130.72
2019-12-12,50.55,51.95,50.2,51.74,57563.35
2019-12-11,50.85,51.39,50.33,50.54,36248.72
2019-12-10,51.35,51.35,50.61,50.78,37251.05
2019-12-09,51.99,52.57,51.35,51.36,39246.87
2019-12-06,51.88,52.28,51.5,52.1,41057.15
2019-12-05,51.06,51.98,50.6,51.86,42175.03
2019-12-04,51.1,51.21,50.5,50.93,26521.56
2019-12-03,50.68,51.25,49.93,50.93,35010.72
2019-12-02,50.6,51.01,50.2,50.6,27276.28
2019-11-29,51.2,51.2,49.96,50.69,43935.49
2019-11-28,51.18,51.78,50.91,51.35,41597.92
2019-11-27,51.8,51.8,50.66,51.11,57392.34
2019-11-26,52.0,52.46,51.32,52.4,42498.02
2019-11-25,52.0,52.15,51.0,51.95,48561.74
2019-11-22,53.16,53.2,51.28,51.95,71062.91
2019-11-21,53.37,53.39,52.55,52.86,46936.94
2019-11-20,54.01,54.47,52.95,53.07,65835.75
2019-11-19,55.1,55.23,53.0,53.84,101579.09
2019-11-18,55.12,55.5,53.65,54.5,76020.63
2019-11-15,54.36,56.3,54.36,55.02,84740.0
2019-11-14,54.91,56.4,53.86,55.19,98338.93
2019-11-13,53.0,55.51,52.5,55.05,200687.25
2019-11-12,49.36,51.49,49.36,51.28,143301.16
2019-11-11,49.2,50.5,48.15,49.2,80803.54
2019-11-08,47.86,49.79,47.77,48.92,120409.36
2019-11-07,47.82,48.0,47.22,47.47,52640.99
2019-11-06,48.69,49.2,47.52,47.77,44446.92
2019-11-05,48.5,48.9,47.81,48.4,51002.89
2019-11-04,47.87,48.87,47.8,48.32,47876.68
2019-11-01,46.95,48.31,46.63,47.83,48479.7
2019-10-31,47.79,47.8,46.55,47.0,47237.63
2019-10-30,48.39,48.61,47.5,47.7,55822.41
2019-10-29,48.15,49.63,47.51,48.8,91944.2
2019-10-28,46.69,48.0,46.51,47.9,51137.7
